county,population
Carlow,3448
Cavan,3268
Clare,5009
Cork,17140
Donegal,10540
Dublin,47662
Galway,10684
Kerry,8209
Kildare,8083
Kilkenny,3145
Laois,4014
Leitrim,1767
Limerick,7880
Longford,2511
Louth,7992
Mayo,6922
Meath,4729
Monaghan,2572
Offaly,3993
Roscommon,2165
Sligo,2860
Tipperary,8043
Waterford,7047
Westmeath,4992
Wexford,9207
Wicklow,5600
